event,time,Cost,Duration,Email,Platform,Workspace,Owner,Segments
Outbound SMS,1746244800,0.046275,,user40b@threepersonteam1.com,web,ThreePersonTeam1,owner40@threepersonteam1.com,1
Outbound Calls,1746331200,0.599433,431.0 seconds,user48a@growthcompany1.com,zoho,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1746331200,0.099712,,owner31@startupduo1.com,web,StartupDuo1,owner31@startupduo1.com,4
Outbound Calls,1746590400,0.502937,264.0 seconds,user40b@threepersonteam1.com,web,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1746849600,0.352794,332.0 seconds,user31@startupduo1.com,web,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1746936000,1.843816,510.0 seconds,user48d@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1747022400,0.450074,205.0 seconds,user48c@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1747195200,0.492139,260.0 seconds,owner1@soloconsultant1.com,mobile,SoloConsultant1,owner1@soloconsultant1.com,
Outbound SMS,1747195200,0.090014,,user39a@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,2
Outbound Calls,1747281600,0.523306,125.0 seconds,user48g@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1747281600,0.708277,171.0 seconds,user48g@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1747368000,0.745409,150.0 seconds,user40a@threepersonteam1.com,freshsales,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound SMS,1747368000,0.02622,,user48c@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,1
Outbound SMS,1747368000,0.06602,,user49d@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,3
Outbound Calls,1747540800,0.37656,126.0 seconds,user48d@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1747540800,0.12543,,user48c@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,4
Outbound Calls,1747627200,1.511911,306.0 seconds,owner1@soloconsultant1.com,web,SoloConsultant1,owner1@soloconsultant1.com,
Outbound Calls,1747627200,0.873168,363.0 seconds,user49d@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1747627200,0.088569,,user39b@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,2
Outbound SMS,1747713600,0.043002,,user48b@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,4
Outbound SMS,1747713600,0.048694,,user48g@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,4
Outbound Calls,1747800000,1.841786,566.0 seconds,user31@startupduo1.com,mobile,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1747800000,2.126938,436.0 seconds,user49b@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1747800000,1.939649,542.0 seconds,user49b@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1747800000,0.026496,,owner31@startupduo1.com,web,StartupDuo1,owner31@startupduo1.com,1
Outbound Calls,1747886400,1.205296,425.0 seconds,user31@startupduo1.com,mobile,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1747886400,0.472476,253.0 seconds,user46c@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1747886400,2.122592,521.0 seconds,user49c@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1747972800,1.138936,349.0 seconds,user31@startupduo1.com,mobile,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1748059200,0.822138,227.0 seconds,owner1@soloconsultant1.com,mobile,SoloConsultant1,owner1@soloconsultant1.com,
Outbound Calls,1748145600,0.08016,29.0 seconds,owner26@soloentrepreneur3.com,web,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound SMS,1748145600,0.125944,,user46d@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,3
Outbound Calls,1748232000,0.69015,161.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748232000,2.856521,596.0 seconds,owner26@soloentrepreneur3.com,web,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748232000,1.314966,555.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
