event,time,distinct_id,Integration Platform,$distinct_id_before_identity
Integration Connected,1746331200,user48a@growthcompany1.com,zoho,
Integration Connected,1746763200,user40a@threepersonteam1.com,freshsales,
Integration Connected,1746936000,user48f@growthcompany1.com,freshsales,
Integration Connected,1747195200,owner40@threepersonteam1.com,teams,
Integration Connected,1747800000,user39b@triostartup1.com,airtable,
Integration Connected,1747972800,user31@startupduo1.com,monday,
Integration Connected,1748059200,user48g@growthcompany1.com,monday,
Integration Connected,1748059200,owner1@soloconsultant1.com,insightly,
Integration Connected,1748145600,user39b@triostartup1.com,hubspot,
Integration Connected,1748145600,user40b@threepersonteam1.com,pipedrive,
Integration Connected,1748318400,owner15@selfemployed2.com,close,
Integration Connected,1748577600,user49a@scalingbusiness1.com,activecampaign,
Integration Connected,1748664000,user48d@growthcompany1.com,insightly,
Integration Connected,1748664000,owner39@triostartup1.com,pipedrive,
Integration Connected,1748836800,user49c@scalingbusiness1.com,zoho,
Integration Connected,1748923200,user49a@scalingbusiness1.com,airtable,
Integration Connected,1749009600,user31@startupduo1.com,zoho,
Integration Connected,1749182400,owner47@expandingcorp1.com,monday,
Integration Connected,1749441600,owner48@growthcompany1.com,asana,
Integration Connected,1749528000,owner47@expandingcorp1.com,trello,
Integration Connected,1749614400,user49c@scalingbusiness1.com,monday,
Integration Connected,1749700800,owner47@expandingcorp1.com,teams,
Integration Connected,1749960000,user49c@scalingbusiness1.com,salesforce,
Integration Connected,1750046400,owner4@personalbrand1.com,monday,
Integration Connected,1750219200,user46d@mediumteam1.com,asana,
Integration Connected,1750478400,owner37@smallteam2.com,klaviyo,
Integration Connected,1750651200,owner43@triostartup2.com,slack,
Integration Connected,1750737600,owner2@freelanceexpert1.com,pipedrive,
Integration Connected,1750910400,user47a@expandingcorp1.com,front,
Integration Connected,1750996800,user46a@mediumteam1.com,teams,
Integration Connected,1751083200,user43b@triostartup2.com,pipedrive,
Integration Connected,1751169600,user42a@smallcorp1.com,nutshell,
Integration Connected,1751256000,owner47@expandingcorp1.com,nutshell,
Integration Connected,1751428800,owner9@soloventure1.com,monday,
Integration Connected,1751428800,user42a@smallcorp1.com,close,
Integration Connected,1751428800,user46c@mediumteam1.com,nutshell,
Integration Connected,1751515200,user37@smallteam2.com,intercom,
Integration Connected,1751601600,owner49@scalingbusiness1.com,hubspot,
Integration Connected,1751601600,owner19@soloventure2.com,activecampaign,
Integration Connected,1751774400,user47a@expandingcorp1.com,make,
Integration Connected,1751774400,owner21@soloconsultant3.com,intercom,
Integration Connected,1751947200,owner9@soloventure1.com,klaviyo,
Integration Connected,1751947200,owner19@soloventure2.com,asana,
Integration Connected,1751947200,user46e@mediumteam1.com,zoho,
Integration Connected,1752033600,user50a@largerteam1.com,asana,
Integration Connected,1752206400,owner9@soloventure1.com,pipedrive,
Integration Connected,1752206400,owner13@independentsales2.com,engagebay,
Integration Connected,1752292800,owner16@soloentrepreneur2.com,front,
Integration Connected,1752292800,user50d@largerteam1.com,salesmate,
Integration Connected,1752292800,owner19@soloventure2.com,trello,
Integration Connected,1752465600,user50f@largerteam1.com,activecampaign,
Integration Connected,1752552000,user50g@largerteam1.com,airtable,
Integration Connected,1752552000,owner42@smallcorp1.com,activecampaign,
Integration Connected,1752552000,owner11@soloconsultant2.com,freshsales,
Integration Connected,1752638400,owner13@independentsales2.com,asana,
Integration Connected,1752724800,owner21@soloconsultant3.com,close,
Integration Connected,1753070400,user45b@growingstartup1.com,make,
Integration Disconnected,1753156800,owner16@soloentrepreneur2.com,front,
Integration Connected,1753243200,owner35@duoventure1.com,airtable,
Integration Connected,1753243200,owner23@independentsales3.com,freshsales,
Integration Connected,1753243200,owner22@freelanceexpert3.com,activecampaign,
Integration Connected,1753416000,owner45@growingstartup1.com,hubspot,
Integration Connected,1753502400,owner38@twopersoncorp2.com,discord,
Integration Connected,1753502400,owner25@selfemployed3.com,asana,
Integration Connected,1753588800,owner45@growingstartup1.com,slack,
Integration Connected,1753761600,user45d@growingstartup1.com,klaviyo,
Integration Connected,1753934400,owner38@twopersoncorp2.com,monday,
Integration Connected,1754280000,user34@partnershipbiz1.com,front,
Integration Connected,1754366400,owner47@expandingcorp1.com,zoho,
Integration Connected,1754625600,owner17@oneperson2.com,salesforce,
Integration Connected,1754712000,owner17@oneperson2.com,pipedrive,
Integration Connected,1754798400,owner42@smallcorp1.com,front,
Integration Connected,1755057600,user41b@trioventure1.com,salesforce,
Integration Connected,1755144000,user50b@largerteam1.com,monday,
Integration Disconnected,1755144000,owner15@selfemployed2.com,close,
Integration Connected,1755230400,user41a@trioventure1.com,notion,
Integration Connected,1755230400,owner28@individualbiz3.com,activecampaign,
Integration Connected,1755489600,user44b@threepersonteam2.com,notion,
Integration Connected,1755662400,user44b@threepersonteam2.com,slack,
Integration Connected,1755662400,owner44@threepersonteam2.com,salesforce,
Integration Connected,1755662400,owner17@oneperson2.com,monday,
Integration Connected,1756094400,owner28@individualbiz3.com,salesmate,
Integration Disconnected,1756094400,owner11@soloconsultant2.com,freshsales,
Integration Connected,1756440000,owner33@twopersoncorp1.com,asana,
Integration Connected,1756958400,owner10@freelancepro1.com,freshsales,
Integration Connected,1757217600,user45c@growingstartup1.com,zapier,
Integration Disconnected,1757563200,user43b@triostartup2.com,pipedrive,
Integration Connected,1757822400,owner10@freelancepro1.com,activecampaign,
Integration Connected,1758772800,owner29@soloventure3.com,front,
Integration Connected,1759118400,owner45@growingstartup1.com,notion,
