event,time,$email,Amount,Amount Breakdown,Refund Amount,Refunded Transaction Date,User Email
New Payment Made,1746072000,owner31@startupduo1.com,50.0,"1495, 3505",,,
New Payment Made,1746072000,owner48@growthcompany1.com,150.0,"771, 774, 13455",,,
New Payment Made,1746158400,owner40@threepersonteam1.com,35.0,"1224, 2276",,,
New Payment Made,1746504000,owner39@triostartup1.com,50.0,"1102, 3898",,,
New Payment Made,1746590400,owner1@soloconsultant1.com,35.0,"750, 2750",,,
New Payment Made,1747281600,owner49@scalingbusiness1.com,200.0,"1253, 577, 18170",,,
New Payment Made,1747368000,owner49@scalingbusiness1.com,100.0,"558, 325, 9117",,,
New Payment Made,1747713600,owner46@mediumteam1.com,150.0,"1327, 741, 12932",,,
New Payment Made,1747800000,owner15@selfemployed2.com,25.0,2500,,,
New Payment Made,1748059200,owner4@personalbrand1.com,25.0,2500,,,
New Payment Made,1748059200,owner26@soloentrepreneur3.com,15.0,1500,,,
New Payment Made,1748059200,owner47@expandingcorp1.com,75.0,"670, 508, 6322",,,
New Payment Made,1748145600,owner43@triostartup2.com,100.0,"862, 516, 8622",,,
Refund Granted,1748750400,,,,15.0,2025-05-24T00:00:00,owner26@soloentrepreneur3.com
New Payment Made,1748923200,owner42@smallcorp1.com,100.0,"748, 701, 8551",,,
New Payment Made,1749096000,owner2@freelanceexpert1.com,15.0,1500,,,
New Payment Made,1749441600,owner9@soloventure1.com,25.0,2500,,,
New Payment Made,1749441600,owner49@scalingbusiness1.com,75.0,"803, 411, 6286",,,
New Payment Made,1749614400,owner19@soloventure2.com,45.0,"888, 3612",,,
New Payment Made,1749700800,owner37@smallteam2.com,50.0,"1040, 3960",,,
New Payment Made,1750132800,owner50@largerteam1.com,50.0,"1109, 3891",,,
New Payment Made,1750305600,owner13@independentsales2.com,15.0,1500,,,
New Payment Made,1750737600,owner22@freelanceexpert3.com,35.0,"717, 2783",,,
New Payment Made,1750910400,owner25@selfemployed3.com,25.0,2500,,,
New Payment Made,1750996800,owner39@triostartup1.com,35.0,"846, 2654",,,
New Payment Made,1751083200,owner21@soloconsultant3.com,15.0,1500,,,
