workspace_id,workspace_name,total_users,owner_email,member_emails
1,SoloConsultant1,1,owner1@soloconsultant1.com,
2,FreelanceExpert1,1,owner2@freelanceexpert1.com,
3,IndependentSales1,1,owner3@independentsales1.com,
4,PersonalBrand1,1,owner4@personalbrand1.com,
5,SelfEmployed1,1,owner5@selfemployed1.com,
6,SoloEntrepreneur1,1,owner6@soloentrepreneur1.com,
7,OnePerson1,1,owner7@oneperson1.com,
8,IndividualBiz1,1,owner8@individualbiz1.com,
9,SoloVenture1,1,owner9@soloventure1.com,
10,FreelancePro1,1,owner10@freelancepro1.com,
11,SoloConsultant2,1,owner11@soloconsultant2.com,
12,FreelanceExpert2,1,owner12@freelanceexpert2.com,
13,IndependentSales2,1,owner13@independentsales2.com,
14,PersonalBrand2,1,owner14@personalbrand2.com,
15,SelfEmployed2,1,owner15@selfemployed2.com,
16,SoloEntrepreneur2,1,owner16@soloentrepreneur2.com,
17,OnePerson2,1,owner17@oneperson2.com,
18,IndividualBiz2,1,owner18@individualbiz2.com,
19,SoloVenture2,1,owner19@soloventure2.com,
20,FreelancePro2,1,owner20@freelancepro2.com,
21,SoloConsultant3,1,owner21@soloconsultant3.com,
22,FreelanceExpert3,1,owner22@freelanceexpert3.com,
23,IndependentSales3,1,owner23@independentsales3.com,
24,PersonalBrand3,1,owner24@personalbrand3.com,
25,SelfEmployed3,1,owner25@selfemployed3.com,
26,SoloEntrepreneur3,1,owner26@soloentrepreneur3.com,
27,OnePerson3,1,owner27@oneperson3.com,
28,IndividualBiz3,1,owner28@individualbiz3.com,
29,SoloVenture3,1,owner29@soloventure3.com,
30,FreelancePro3,1,owner30@freelancepro3.com,
31,StartupDuo1,2,owner31@startupduo1.com,user31@startupduo1.com
32,SmallTeam1,2,owner32@smallteam1.com,user32@smallteam1.com
33,TwoPersonCorp1,2,owner33@twopersoncorp1.com,user33@twopersoncorp1.com
34,PartnershipBiz1,2,owner34@partnershipbiz1.com,user34@partnershipbiz1.com
35,DuoVenture1,2,owner35@duoventure1.com,user35@duoventure1.com
36,StartupDuo2,2,owner36@startupduo2.com,user36@startupduo2.com
37,SmallTeam2,2,owner37@smallteam2.com,user37@smallteam2.com
38,TwoPersonCorp2,2,owner38@twopersoncorp2.com,user38@twopersoncorp2.com
39,TrioStartup1,3,owner39@triostartup1.com,"user39a@triostartup1.com,user39b@triostartup1.com"
40,ThreePersonTeam1,3,owner40@threepersonteam1.com,"user40a@threepersonteam1.com,user40b@threepersonteam1.com"
41,TrioVenture1,3,owner41@trioventure1.com,"user41a@trioventure1.com,user41b@trioventure1.com"
42,SmallCorp1,3,owner42@smallcorp1.com,"user42a@smallcorp1.com,user42b@smallcorp1.com"
43,TrioStartup2,3,owner43@triostartup2.com,"user43a@triostartup2.com,user43b@triostartup2.com"
44,ThreePersonTeam2,3,owner44@threepersonteam2.com,"user44a@threepersonteam2.com,user44b@threepersonteam2.com"
45,GrowingStartup1,5,owner45@growingstartup1.com,"user45a@growingstartup1.com,user45b@growingstartup1.com,user45c@growingstartup1.com,user45d@growingstartup1.com"
46,MediumTeam1,7,owner46@mediumteam1.com,"user46a@mediumteam1.com,user46b@mediumteam1.com,user46c@mediumteam1.com,user46d@mediumteam1.com,user46e@mediumteam1.com,user46f@mediumteam1.com"
47,ExpandingCorp1,4,owner47@expandingcorp1.com,"user47a@expandingcorp1.com,user47b@expandingcorp1.com,user47c@expandingcorp1.com"
48,GrowthCompany1,8,owner48@growthcompany1.com,"user48a@growthcompany1.com,user48b@growthcompany1.com,user48c@growthcompany1.com,user48d@growthcompany1.com,user48e@growthcompany1.com,user48f@growthcompany1.com,user48g@growthcompany1.com"
49,ScalingBusiness1,6,owner49@scalingbusiness1.com,"user49a@scalingbusiness1.com,user49b@scalingbusiness1.com,user49c@scalingbusiness1.com,user49d@scalingbusiness1.com,user49e@scalingbusiness1.com"
50,LargerTeam1,10,owner50@largerteam1.com,"user50a@largerteam1.com,user50b@largerteam1.com,user50c@largerteam1.com,user50d@largerteam1.com,user50e@largerteam1.com,user50f@largerteam1.com,user50g@largerteam1.com,user50h@largerteam1.com,user50i@largerteam1.com"
